27,0,4,8,0,0,0,0,2,0
18,0,8,15,0,0,0,0,4,0
23,0,16,31,0,0,0,0,7,0
24,0,16,31,0,0,0,0,7,0
18,0,8,15,0,0,0,0,4,0
907,0,12,23,0,0,0,0,5,0
970,0,11,21,0,0,0,0,5,0
1040,0,22,40,0,0,0,0,9,0
1384,0,8,15,0,0,0,0,4,0
22,0,8,16,0,0,0,0,4,0
25,0,8,15,0,0,0,0,4,0
2186,0,6,11,0,0,0,0,2,0
1121,0,2,3,0,0,0,0,1,0
1394,0,7,14,0,0,0,0,3,0
1390,0,2,4,0,0,0,0,1,0
1400,0,5,10,0,0,0,0,2,0
21,0,8,15,0,0,0,0,4,0
18,0,8,15,0,0,0,0,4,0
31,0,6,11,0,0,0,0,3,0
31,0,18,34,0,0,0,0,8,0
25,0,8,15,0,0,0,0,3,0
24,0,8,15,0,0,0,0,3,0
970,0,1,2,0,0,0,0,0,0
1413,0,13,24,0,0,0,0,5,0
